step,time,x,y,z,qpos_hip_p_l,qpos_hip_r_l,qpos_hip_y_l,qpos_knee_p_l,qpos_ank_p_l,qpos_ank_r_l,qpos_hip_p_r,qpos_hip_r_r,qpos_hip_y_r,qpos_knee_p_r,qpos_ank_p_r,qpos_ank_r_r,qvel_hip_p_l,qvel_hip_r_l,qvel_hip_y_l,qvel_knee_p_l,qvel_ank_p_l,qvel_ank_r_l,qvel_hip_p_r,qvel_hip_r_r,qvel_hip_y_r,qvel_knee_p_r,qvel_ank_p_r,qvel_ank_r_r,tau_hip_p_l,tau_hip_r_l,tau_hip_y_l,tau_knee_p_l,tau_ank_p_l,tau_ank_r_l,tau_hip_p_r,tau_hip_r_r,tau_hip_y_r,tau_knee_p_r,tau_ank_p_r,tau_ank_r_r,action_hip_p_l,action_hip_r_l,action_hip_y_l,action_knee_p_l,action_ank_p_l,action_ank_r_l,action_hip_p_r,action_hip_r_r,action_hip_y_r,action_knee_p_r,action_ank_p_r,action_ank_r_r,cmd_vx,cmd_vy,cmd_vyaw,fall
30,0.7200,-0.2285,0.0244,0.5335,-0.8601,-0.0844,0.0111,1.3895,-0.2116,0.0638,-0.7992,-0.0077,0.0263,1.3215,-0.1896,0.0589,0.2040,-0.3383,-0.2830,0.9482,0.2747,-0.5801,0.2845,-0.2002,-0.2236,1.1692,0.2750,0.3148,14.37,4.87,-16.82,-91.78,-47.93,12.65,-43.71,4.07,-7.29,-32.56,-20.16,-1.25,-1.5068,-0.1687,-0.7620,0.5046,-2.5719,0.3182,-3.5080,0.1846,-0.2535,1.7472,-0.6298,0.2148,0.50,0.00,0.00,0
31,0.7400,-0.2311,0.0238,0.5287,-0.8496,-0.0878,0.0096,1.4053,-0.2101,0.0659,-0.7893,-0.0103,0.0245,1.3419,-0.1941,0.0643,0.3593,-0.2381,-0.6151,0.9607,0.3385,-3.0866,0.6406,0.0129,-0.3234,0.7906,-0.4818,0.2435,3.65,19.31,-33.13,-105.67,-50.00,-1.24,-38.26,4.16,-5.28,-15.11,-20.75,0.43,-1.7451,0.3449,-1.3205,0.0748,-2.9749,0.3887,-3.1861,0.1123,-0.1092,2.2832,-0.8461,0.3325,0.50,0.00,0.00,0
32,0.7600,-0.2329,0.0239,0.5246,-0.8355,-0.0892,0.0150,1.4168,-0.2094,0.0705,-0.7791,-0.0131,0.0282,1.3616,-0.2078,0.0673,0.8689,0.0079,0.9809,0.4086,0.0221,0.7857,0.4507,-0.5043,0.4928,1.1404,-0.7909,0.0723,14.91,20.65,-41.70,-110.99,-50.00,12.66,-47.81,3.83,-16.61,12.52,-15.36,-0.71,-1.3041,0.4424,-1.6892,0.0227,-2.9479,0.6103,-3.5560,0.1524,-0.5652,3.0772,-0.6038,0.2410,0.50,0.00,0.00,0
33,0.7800,-0.2355,0.0238,0.5200,-0.8320,-0.0893,0.0169,1.4323,-0.2090,0.0692,-0.7765,-0.0110,0.0325,1.3795,-0.2162,0.0563,0.2249,0.0594,0.9025,0.7024,0.0376,1.1808,-0.0098,-0.4925,0.2312,1.2395,-0.7429,-0.6192,35.43,44.54,-73.11,-102.45,-46.82,21.05,-60.00,-7.05,-22.22,39.75,-11.83,3.28,-0.5664,1.3496,-3.0275,0.3505,-2.5358,1.0950,-4.1169,-0.3213,-0.8481,3.8964,-0.4089,0.3252,0.50,0.00,0.00,0
34,0.8000,-0.2392,0.0233,0.5133,-0.8446,-0.0890,0.0157,1.4565,-0.2084,0.0692,-0.7883,-0.0103,0.0288,1.4041,-0.2093,0.0611,-0.8127,0.2897,0.5106,1.3599,0.0103,0.6941,-0.8624,-0.3436,-0.1294,1.5288,0.0925,0.6205,51.06,58.64,-97.62,-95.98,-43.11,21.51,-74.57,-20.77,-12.02,53.67,-13.10,2.12,-0.1281,1.9218,-3.9454,0.6714,-2.2366,1.1758,-4.8553,-0.8713,-0.4250,4.4161,-0.2703,0.5091,0.50,0.00,0.00,0
35,0.8200,-0.2436,0.0225,0.5042,-0.8711,-0.0903,0.0133,1.4890,-0.2084,0.0703,-0.8132,-0.0113,0.0247,1.4378,-0.2134,0.0716,-1.6011,0.0551,-0.5472,1.8340,-0.0546,0.9497,-1.4049,0.2499,-0.4633,1.6717,-0.2600,0.4346,64.01,60.30,-111.50,-104.63,-35.78,9.29,-76.92,-20.69,-16.22,80.63,-6.88,3.85,0.2955,2.0826,-4.2521,0.5540,-1.8118,1.1417,-5.1400,-0.9399,-0.5065,5.3482,0.0340,0.6274,0.50,0.00,0.00,0
36,0.8400,-0.2485,0.0219,0.4935,-0.9037,-0.0908,0.0150,1.5264,-0.2070,0.0651,-0.8457,-0.0111,0.0256,1.4779,-0.2060,0.0664,-1.6486,-0.3315,-0.2172,1.8946,0.1672,-0.5650,-1.5904,-0.0430,-0.1564,2.1175,-0.1402,-0.3139,73.90,54.95,-97.68,-105.92,-26.11,18.91,-72.89,-20.68,-14.41,92.38,-6.40,6.07,0.4381,1.8301,-3.9352,0.7665,-1.1102,0.9149,-5.1497,-0.8209,-0.5355,5.8189,0.1333,0.6092,0.50,0.00,0.00,0
37,0.8600,-0.2537,0.0214,0.4819,-0.9333,-0.0864,0.0225,1.5640,-0.2063,0.0710,-0.8787,-0.0071,0.0304,1.5192,-0.2179,0.0617,-1.2889,-0.1351,-0.2148,2.0642,-0.1056,0.8418,-1.2945,0.1024,-0.0148,2.1472,-0.7251,-0.1563,72.53,49.57,-98.81,-96.58,-18.28,7.33,-63.18,-20.75,-19.62,83.96,-6.86,3.84,0.3694,1.8575,-3.6010,1.0662,-0.6277,0.9434,-4.9506,-0.6921,-0.4652,5.7200,-0.0546,0.4595,0.50,0.00,0.00,0
38,0.8800,-0.2582,0.0207,0.4704,-0.9528,-0.0835,0.0296,1.6001,-0.2061,0.0674,-0.9021,-0.0042,0.0349,1.5618,-0.2168,0.0640,-0.8053,-0.0446,-0.1837,1.8174,0.0132,0.6879,-0.8369,0.3181,-0.0717,2.0092,0.0373,0.3217,69.74,49.08,-90.92,-99.95,-14.47,7.07,-63.94,-13.12,-14.20,66.74,-12.10,1.31,0.2939,1.7102,-3.3728,1.1556,-0.3961,0.8452,-4.9036,-0.5775,-0.3831,5.5035,-0.2505,0.4052,0.50,0.00,0.00,0
39,0.9000,-0.2618,0.0203,0.4596,-0.9608,-0.0811,0.0371,1.6337,-0.2048,0.0708,-0.9143,-0.0013,0.0421,1.6017,-0.2155,0.0643,0.0945,0.3952,0.8880,1.4848,-0.0903,-0.0047,-0.3118,-0.1067,0.3970,2.0383,0.0566,-0.3488,68.32,49.28,-89.04,-104.01,-17.06,10.46,-66.73,-10.80,-11.77,62.69,-13.38,2.54,0.2519,1.6031,-3.4291,1.1584,-0.5456,0.9389,-4.9862,-0.4639,-0.3104,5.5158,-0.3216,0.3604,0.50,0.00,0.00,0
