step,time,x,y,z,qpos_hip_p_l,qpos_hip_r_l,qpos_hip_y_l,qpos_knee_p_l,qpos_ank_p_l,qpos_ank_r_l,qpos_hip_p_r,qpos_hip_r_r,qpos_hip_y_r,qpos_knee_p_r,qpos_ank_p_r,qpos_ank_r_r,qvel_hip_p_l,qvel_hip_r_l,qvel_hip_y_l,qvel_knee_p_l,qvel_ank_p_l,qvel_ank_r_l,qvel_hip_p_r,qvel_hip_r_r,qvel_hip_y_r,qvel_knee_p_r,qvel_ank_p_r,qvel_ank_r_r,tau_hip_p_l,tau_hip_r_l,tau_hip_y_l,tau_knee_p_l,tau_ank_p_l,tau_ank_r_l,tau_hip_p_r,tau_hip_r_r,tau_hip_y_r,tau_knee_p_r,tau_ank_p_r,tau_ank_r_r,action_hip_p_l,action_hip_r_l,action_hip_y_l,action_knee_p_l,action_ank_p_l,action_ank_r_l,action_hip_p_r,action_hip_r_r,action_hip_y_r,action_knee_p_r,action_ank_p_r,action_ank_r_r,cmd_vx,cmd_vy,cmd_vyaw,fall
30,0.7200,0.1621,-0.0194,0.5395,-1.1000,-0.0104,0.0130,1.4782,-0.3404,0.0947,-0.9034,0.0239,-0.0278,1.6818,-0.5169,0.0225,-0.1366,0.1356,0.1233,1.2164,-0.8932,0.1376,-3.3800,-0.0625,0.2964,0.1904,-0.8143,0.0377,26.01,17.33,-42.33,-66.18,-16.26,1.14,-13.90,-3.51,4.97,6.52,-8.57,0.31,-1.9867,0.6732,-1.6214,1.5016,-1.2171,0.4820,-3.2898,-0.0536,0.1328,4.1281,-1.3963,0.1179,0.50,0.00,0.00,0
31,0.7400,0.1661,-0.0185,0.5360,-1.1039,-0.0066,0.0158,1.5027,-0.3623,0.0970,-0.9699,0.0216,-0.0218,1.6772,-0.5293,0.0209,-0.1864,0.1955,0.1434,1.1927,-1.0806,0.1073,-3.2409,-0.1650,0.3127,-0.3994,-0.6064,-0.0750,6.24,20.37,-36.80,-78.98,-24.96,-0.34,-6.46,-4.88,5.33,2.42,-6.31,-0.82,-2.7963,0.8180,-1.3866,1.2560,-1.9253,0.3866,-3.2349,-0.1326,0.1736,3.9258,-1.2548,0.0145,0.50,0.00,0.00,0
32,0.7600,0.1696,-0.0179,0.5329,-1.1104,-0.0006,0.0208,1.5272,-0.3951,0.0986,-1.0321,0.0157,-0.0164,1.6631,-0.5379,0.0168,-0.3573,0.3399,0.3052,1.1646,-1.7784,0.0729,-2.9740,-0.3528,0.2745,-0.7943,-0.4280,-0.1949,-8.79,22.08,-30.06,-96.66,-28.21,-2.53,3.09,-4.71,3.60,2.01,-4.21,-1.97,-3.4483,0.9315,-1.0746,0.8805,-2.4041,0.2401,-3.0630,-0.1783,0.1195,3.8073,-1.1149,-0.1023,0.50,0.00,0.00,0
33,0.7800,0.1732,-0.0176,0.5308,-1.1143,0.0094,0.0297,1.5479,-0.4351,0.0991,-1.0812,0.0093,-0.0096,1.6493,-0.5436,0.0121,-0.0362,0.5919,0.5213,0.8690,-1.9929,0.0048,-2.0094,-0.3128,0.3531,-0.6080,-0.2778,-0.2236,-17.53,22.51,-25.43,-109.02,-29.69,-4.05,17.41,-1.95,2.82,8.86,-2.13,-2.21,-3.7699,1.0258,-0.8213,0.5988,-2.7073,0.1282,-2.5497,-0.0885,0.1285,3.9549,-0.9700,-0.1422,0.50,0.00,0.00,0
34,0.8000,0.1773,-0.0177,0.5302,-1.1111,0.0237,0.0411,1.5616,-0.4745,0.0985,-1.1099,0.0042,-0.0033,1.6395,-0.5477,0.0074,0.3171,0.7675,0.5925,0.5140,-1.8603,-0.0559,-0.9758,-0.2199,0.2785,-0.4068,-0.1957,-0.2273,-19.01,21.12,-25.37,-107.55,-28.32,-3.43,17.85,-0.43,1.50,10.20,-1.24,-2.23,-3.7616,1.0550,-0.7603,0.6481,-2.7496,0.1554,-2.4894,-0.0347,0.0902,3.9764,-0.9118,-0.1632,0.50,0.00,0.00,0
35,0.8200,0.1816,-0.0185,0.5308,-1.1018,0.0410,0.0537,1.5683,-0.5082,0.0981,-1.1199,0.0002,0.0011,1.6313,-0.5529,0.0029,0.6249,0.9769,0.6891,0.0675,-1.7434,1.0413,-0.1504,-0.1682,0.1814,-0.3752,-0.2478,-0.2134,-15.85,19.19,-24.37,-96.90,-25.28,-3.22,12.21,-1.24,1.31,7.63,-1.95,-2.11,-3.5621,1.0665,-0.6640,0.9214,-2.6103,0.1356,-2.6259,-0.0779,0.0868,3.8808,-0.9901,-0.1704,0.50,0.00,0.00,0
36,0.8400,0.1861,-0.0196,0.5318,-1.0893,0.0616,0.0679,1.5702,-0.5329,0.0964,-1.1149,-0.0039,0.0039,1.6214,-0.5609,-0.0006,0.6398,1.0517,0.7309,0.0607,-1.0042,-0.3338,0.5034,-0.2228,0.1243,-0.4914,-0.3818,-0.1660,-11.81,13.61,-18.74,-79.30,-20.68,-6.61,7.54,-1.90,0.95,3.49,-3.46,-1.65,-3.3294,0.9543,-0.3653,1.3708,-2.3215,-0.0630,-2.6891,-0.1244,0.0722,3.7156,-1.1486,-0.1446,0.50,0.00,0.00,0
37,0.8600,0.1906,-0.0211,0.5327,-1.0759,0.0819,0.0826,1.5705,-0.5502,0.0944,-1.0978,-0.0072,0.0077,1.6065,-0.5709,-0.0023,0.6287,0.9067,0.7040,0.0462,-0.6813,-0.3133,1.0446,-0.1688,0.2053,-0.7707,-0.4796,-0.0845,-9.13,7.93,-15.50,-66.40,-17.43,-8.45,4.11,-0.38,1.34,-1.20,-4.57,-0.83,-3.1665,0.7911,-0.1783,1.7093,-2.1162,-0.1610,-2.6727,-0.0681,0.1148,3.4956,-1.2811,-0.0809,0.50,0.00,0.00,0
38,0.8800,0.1951,-0.0228,0.5329,-1.0637,0.0959,0.0947,1.5710,-0.5588,0.0928,-1.0715,-0.0092,0.0115,1.5773,-0.5863,-0.0012,0.5349,0.4955,0.5351,0.0736,-0.2650,-0.0231,1.3610,-0.0937,0.1876,-1.5921,-0.7438,0.0510,0.74,4.33,-15.35,-52.79,-14.90,-6.74,-6.22,1.14,0.27,-13.06,-7.55,0.56,-2.7440,0.6372,-0.1539,2.0887,-1.8722,-0.1476,-2.9271,-0.0061,0.0854,2.9604,-1.5926,0.0426,0.50,0.00,0.00,0
39,0.9000,0.1995,-0.0245,0.5317,-1.0537,0.1001,0.1029,1.5735,-0.5553,0.0910,-1.0424,-0.0101,0.0148,1.5355,-0.6032,0.0037,0.4586,-0.0040,0.3332,0.1854,0.3347,0.1462,1.2763,0.0365,0.2786,-1.5022,-0.3014,0.6200,10.75,3.74,-16.07,-40.88,-12.71,-5.71,-14.17,1.39,-0.87,-23.63,-10.51,0.84,-2.3167,0.5535,-0.1792,2.4288,-1.5979,-0.0518,-3.1245,0.0122,0.0525,2.4613,-1.8253,0.1533,0.50,0.00,0.00,0
